reviewId,country,userName,score,at,title,content,thumbsUpCount,appVersion,category,sentiment,churn_risk,tenure,summary,stars
14458689882,us,SF artist,1,2026-08-22 13:21:17,App broken,Can't open this on any device.  What is wrong with friends today?,0,14.6.0,bugs_performance,negative,False,unknown,App fails to open on any device.,
14456743411,us,HUD reports,4,2026-08-22 00:21:42,Awesome game except for the ads,"Angry Birds friends is really fun and I would highly recommend it to Angry Birds fans but the only problem is it’s just the ads they it’s just so annoying but that doesn’t stop me from playing the game all the time for some people that ads might be annoying and there’s no way to get rid of them so that’s pretty annoying. That’s why I give it four stars but all in all I was still highly recommend this game really fun signed, hud 

 reports",0,14.6.0,ads,neutral,False,unknown,"Fun game but ads are annoying and unavoidable, costing it one star.",
14450017753,us,nobodyisthatfaraway,2,2026-08-20 08:45:44,Level 60 is glitched and has been for years,"The game starts fun but after only a couple levels becomes absurdly difficult. This is not a skill issue, this is Rovio trying to get people to buy microtransactions. 

You can just barely squeak by getting single stars at points and other levels are pretty easy. But you can tell the intricacy of the levels and amount of pigs that Rovio are being manipulative in getting people to get frustrated.

Not to mention the bugs. Some levels have a certain amount of randomness by design. But when things don’t spawn the same way every time you get slightly but noticeably different runs.

It’s fun at first but then you notice how greedy and scummy Rovio is.

It’s a free game but it’s designed to scam kids and people unaware of how it slowly nags at you to buy things, and then gets so difficult you have to spend money. Why make a game that’s fun for a $1 or $5 when you can make money off whales right Rovio? 

Also in my title level 60 is impossible without RNG or purchases due to the level being bugged. I can see why this game is dogged on now.",0,14.6.0,progression_difficulty,negative,False,unknown,"Game becomes absurdly difficult quickly, with bugs and perceived manipulation to push microtransaction spending.",
14441263053,us,Good Suggestion Guy,5,2026-08-18 03:29:30,AB Friends is amazing!,We just need the OG AB back,0,14.6.0,praise,positive,False,unknown,Player loves AB Friends but wants the original Angry Birds back.,
14437541494,us,iaiaie,2,2026-08-17 05:35:09,Impossible?,Level 60 is way to difficult. it makes the game very pay to win if you dont have abilities,0,14.6.0,progression_difficulty,negative,False,unknown,"Level 60 is impossibly difficult without paid abilities, making the game feel pay-to-win.",
14428478732,us,JEFFB1976,5,2026-08-14 22:42:32,Love it!! 😍,I love it so much!!!! You should ad a infinite mode where you can lunch 2000+ possible bird or characters including the original bird the bird from Stella the bird from space and ♾️➕ more random possible bird,0,14.6.0,feature_request,positive,False,unknown,Player loves the game and requests an infinite mode featuring a massive variety of birds.,
14417044172,us,Jdogwazhere,5,2026-08-12 03:10:26,Fun and Addicting,This game is so much like the classic but looks better and is better then Angry Birds 2!!! Rovio well done!!,0,14.6.0,praise,positive,False,unknown,Player finds the game fun and considers it better than Angry Birds 2.,
14409817232,us,BigFatGoose_,5,2026-08-10 09:17:34,BLUES' TALLEST TOWER FLOOR 73-6 Cannot load,"It's a very interesting game. I've been playing the Angry Birds series for over 10 years. abfriends updates levels every day or every few days, which is really great. The new levels are always very fun!",0,14.6.0,live_events,positive,False,veteran,Long-time Angry Birds fan praises the frequent new level updates as fun and engaging.,
14406397350,us,Ropesy,1,2026-08-09 12:13:45,Absolute scam of the year,"This game has a game within it called Blues Tower.  The concept is simple.  Every day you reach a new level, you climb a floor.  Every two weeks, when you reach, let’s say, Floor 615, you get rewards and you strive to reach the next Floor level goal, another two weeks later.  However, this game is rigged.  You don’t progress each day.  You play, and you don’t progress to the next floor.  Or…better yet…the game “allows” you to go up a floor towards your next Floor goal that’ll give you a reward at the end, but suddenly you’re back at Floor 602 and need to work yourself back up to Floor 615.  But you never get there.  You never make any progress.  So what should take you two weeks to reach the next Floor level and gain points will actually take you months.  I would never pay for a game that cheats its players.",0,14.6.0,bugs_performance,negative,True,unknown,"Blues Tower progress resets unexpectedly, making the reward system feel rigged and broken.",
14401108525,us,kaurhrgegegr,4,2026-08-08 01:52:38,It is ok,It is a good game that all,0,14.6.0,praise,neutral,False,unknown,Player finds the game generally good with no further elaboration.,
