reviewId,country,userName,score,at,title,content,thumbsUpCount,appVersion,category,sentiment,churn_risk,tenure,summary
8d1ca79d-0ee2-45e9-8727-b2184d29319e,us,John Iberson,5,2026-08-24 05:19:31,,love this,0,unknown,praise,positive,False,unknown,Player expresses simple love for the game.
030fa916-ba7a-46ed-a9bb-344c9ab0d5ce,us,Matthew Briggs,4,2026-08-24 01:16:40,,"Been playing the real Og recently and some stages are more unfair than I remembered/Almost impossible to 3 star even with powers, at which point it stops being fun. Sadly its not here and won't get balancing updates. I played AB friends on FB when it launched too. Personally, I feel like the physics and destruction is more satisfying than the og, but I'd still like it to be relaunched and updated.",0,14.6.0,progression_difficulty,neutral,False,veteran,"Veteran player finds some stages unfair and near-impossible to 3-star even with power-ups, and wishes classic AB would be updated."
cef21df5-f6a9-4930-92a3-44a631782bd2,us,Official Magar,5,2026-08-23 18:14:52,,nice game 💯,0,14.6.0,praise,positive,False,unknown,Player gives a brief positive endorsement of the game.
29fc2a0f-bf20-4f51-93e0-b8838907a647,us,Elie Wallow,5,2026-08-23 17:14:11,,I really love all the basic fun games like this five stars,0,14.6.0,praise,positive,False,unknown,Player loves simple fun games and gives five stars.
ec3f196f-c5f1-46df-92a1-1a0e2c35f47b,us,Kaleb Corado (Kale and spinach),5,2026-08-23 15:21:26,,cool geam,0,14.6.0,praise,positive,False,unknown,Player briefly praises the game as cool.
3eee3f46-599b-4f48-8f34-ee86731fff12,us,Ziporah Ngabirano,5,2026-08-23 15:04:22,,it is radical,0,14.6.0,praise,positive,False,unknown,Player describes the game as radical.
ffdb8d4e-bfa5-4618-aba8-0235e11a4a8a,us,Adan Campos,3,2026-08-23 14:52:41,,it's fun but we want all the classic games back plsss,0,14.6.0,feature_request,neutral,False,unknown,Player enjoys the game but requests the return of all classic game content.
acaa85e4-dc6f-49e0-96b4-fbc15b8995f5,us,SANJAY MISHRA,5,2026-08-23 13:51:57,,Have played this game before.Am playing it again.,0,14.6.0,praise,positive,False,returning,Returning player is back and enjoying the game again.
27e8da62-9b6c-4f70-beff-ea42413b9d24,us,Michael Amandy,5,2026-08-23 09:58:32,,Super fun and cool to,0,unknown,praise,positive,False,unknown,Player finds the game super fun and cool.
3e3aa0e0-8ec6-474d-8752-4f39faa6cb32,us,O Tselmeg,5,2026-08-23 06:56:37,,very good,0,14.6.0,praise,positive,False,unknown,Player gives a brief positive rating.
e31bfbd9-2334-4de3-b3a6-d3ba1ac56543,us,Kanagaraj Gunsekaran,5,2026-08-23 06:16:56,,super,0,unknown,praise,positive,False,unknown,Player gives a one-word positive endorsement.
9f73d22d-a1d2-4908-ac19-1f4548342fd6,us,Lena Binkley,5,2026-08-23 05:44:58,,so much fun!! my first time to playthis game!! I really like it!!;),0,14.6.0,praise,positive,False,new,First-time player is having a lot of fun with the game.
a4d87f45-5d3f-4e28-bf53-ff43129f7760,us,Leong Aik Yap,5,2026-08-23 04:35:22,,Nice game,0,14.6.0,praise,positive,False,unknown,Player briefly praises the game.
828ca3a2-300d-4b26-bdae-f4660c3f7a5a,us,Ryan,5,2026-08-23 01:01:36,,amazing 🤩,0,14.6.0,praise,positive,False,unknown,Player finds the game amazing.
47c9e3fe-def1-410d-8997-fbc53a135fb2,us,Zack Strydom,5,2026-08-22 19:47:42,,Just an absolute classic,0,14.6.0,praise,positive,False,unknown,Player describes the game as an absolute classic.
fa50039d-d0f1-463a-8a7d-712389c5110a,us,Joshua Rangel,3,2026-08-22 16:20:25,,"The game was practically good, although it would be better if you used the classic bird sounds.",0,14.6.0,ux_ui,neutral,False,unknown,Player likes the game but prefers the classic bird sounds over the current ones.
eda3bb94-f1a9-4ed7-8035-6f02090dba47,us,Andrew Pelechaty,5,2026-08-22 15:05:04,,So much better than AB2. No pressure to spend money or complete annoying Daily Challenges. As close as we'll get to the simplicity of the original game.,0,14.6.0,monetization,positive,False,unknown,Player praises the game for lacking pressure to spend money compared to AB2.
047720a8-be50-4d1d-b7e0-b75d062aafdc,us,Vinay Agnihotri (Radhe Radhe),5,2026-08-22 13:46:22,,radhe radhe,0,unknown,other,neutral,False,unknown,Review contains only an unrelated phrase with no game feedback.
5bf18100-9a63-44c9-b793-e78f971d95a5,us,Helen Wiley,4,2026-08-22 12:31:34,,It's not loading again.,537,14.6.0,bugs_performance,negative,False,unknown,Player reports the game is not loading again.
b3032337-e002-443f-8962-bacba0388217,us,Huda Drawi,4,2026-08-22 12:17:18,,❤️‍🔥❤️‍🔥🔥,0,14.6.0,praise,positive,False,unknown,Player expresses enthusiasm with fire and heart emojis.
0b08f6c9-3b87-4da6-a94f-b6883c55dfa3,us,Chintu Nellam chintu,5,2026-08-22 11:50:50,,good app,0,14.6.0,praise,positive,False,unknown,Player gives a brief positive endorsement.
3a781f19-75e7-461f-9777-bfc8866ca5e5,us,BELLARY SYED KHAJAMOINUDDIN,1,2026-08-22 10:45:05,,"looks like some issues with your game, i couldn't open, tried installing again and again, no use fix it",0,unknown,bugs_performance,negative,True,unknown,Player cannot open the game despite multiple reinstalls and demands a fix.
101370e8-e891-4f88-a87e-07c4bdceff4c,us,Temujin Munkhulzii,5,2026-08-22 09:58:16,,awsome spinoff game and hal is the goat,0,14.6.0,praise,positive,False,unknown,Player praises the game as an awesome spinoff and highlights Hal as a favourite.
56167d0e-7759-4595-80f9-b8353dd83d26,us,Sk Re juan,3,2026-08-22 08:53:59,,Very good 😊,0,unknown,praise,positive,False,unknown,Player briefly rates the game as very good.
69006cb6-86cd-4ec9-ba08-821b4872cb93,us,Em Maglian,2,2026-08-22 08:08:14,,more birds,0,14.6.0,feature_request,neutral,False,unknown,Player requests more birds be added to the game.
b4a9cf34-78e8-499b-ae00-fa7b0a81e35e,us,Deep saha Deep saha,2,2026-08-22 05:29:32,,good,0,14.6.0,other,neutral,False,unknown,Minimal review with a single word offering no useful detail.
277f1bc5-d653-42ba-a7c6-6eeb681ec938,us,Priyanka Tudu,3,2026-08-22 05:09:52,,can you fully play this game without network connection,0,14.6.0,feature_request,neutral,False,unknown,Player asks whether the game can be played offline without a network connection.
8ba2b5d7-6b36-4318-acc5-66f31fa4f76d,us,Ram Devi,5,2026-08-22 04:33:53,,very joyful game . after about 10 years I downloaded this game. it recovers my all childhood memories,0,unknown,praise,positive,False,returning,Returning player after about ten years finds the game nostalgic and joyful.
5f876f22-e435-4616-a6d7-7e7784a20929,us,Craig Brewer Jr.,5,2026-08-22 03:33:51,,"There's nothing to say really, except the Birds are f'N Angry",0,14.6.0,praise,positive,False,unknown,Playful one-liner expressing enthusiasm for the game's core premise.
5c72d9c5-c2df-42ff-98bd-2eb2cacddf39,us,Arian Barcelon,3,2026-08-22 03:29:13,,i just wanna rate a 3 stars because I don't have experience about this game.,0,unknown,other,neutral,False,unknown,Player gives three stars simply because they have no experience with the game yet.
c48e0024-34cd-4c3f-aa19-b918377f46be,us,Luka Abuladze,5,2026-08-21 22:31:51,,I liked this game Soo much! it's like Angry birds reloaded 2.0!,0,14.6.0,praise,positive,False,unknown,Player loves the game and compares it favourably to Angry Birds Reloaded.
6edb1387-b65e-4da5-a7ba-d922b484549b,us,Abner Nicolau,5,2026-08-21 18:12:44,,my favorite,0,14.6.0,praise,positive,False,unknown,Player calls it their favourite game.
83f6dcb5-60de-410f-abb9-1016a3b14858,us,Shahid Talukdar,1,2026-08-21 17:53:38,,it's a little potato game i regularly play pc game. pc game is Big potato game,0,unknown,other,negative,False,unknown,Player dismisses the mobile game as small compared to PC games they prefer.
dec188f3-4a74-44cf-9b9e-28d6211c9afe,us,Matthew Corcoran,5,2026-08-21 17:42:11,,🥰🥰🥰🥰🥰,1,14.6.0,praise,positive,False,unknown,Enthusiastic emoji-only five-star review expressing love for the game.
12aef53f-6e15-40a3-a262-a2469b5770b8,us,robin cimino,5,2026-08-21 15:14:59,,Love it!,0,14.6.0,praise,positive,False,unknown,Brief and enthusiastic expression of love for the game.
010ce94e-b23c-41a0-bc64-837a9232fff3,us,Jari Vil,5,2026-08-21 12:44:39,,Fun!!!,0,14.6.0,praise,positive,False,unknown,Player finds the game fun in a brief one-word review.
f299f72e-10a9-4939-9d24-3f7d5bb59c14,us,Muhammad Arshiyam,5,2026-08-21 10:03:13,,Very fun game good concept The way the make these funny noises is so funny,0,14.6.0,praise,positive,False,unknown,Player enjoys the fun concept and finds the bird sound effects amusing.
4386f0c4-6837-49af-a8bf-73607e4bef47,us,Brando Bunyard,5,2026-08-21 08:17:37,,Hoot of a time,0,14.6.0,praise,positive,False,unknown,Player describes having a great time with the game.
3a0eb44f-8070-425e-97da-50bba1da6863,us,Vann aiden chico,5,2026-08-21 06:37:54,,the birds and the graphics is amazing!,0,14.6.0,praise,positive,False,unknown,Player praises the birds and graphics as amazing.
81fafa1c-d586-47b8-a524-0c4debfb1f09,us,Johnny Boudreau,3,2026-08-20 21:26:24,,3.5 slow start,0,14.6.0,progression_difficulty,neutral,False,unknown,"Player notes the game has a slow start, giving it a middling rating."
